author,published_at,updated_at,like_count,text,translated_text,vader_sentiment
@SillycornsMedia,2024-03-02T10:15:12Z,2024-03-02T10:15:12Z,1476,"Hey guys, the support in this video has been unbelievable, to say the least. Thank you everyone from the bottom of my heart. Means a lot! 🙏<br><br>Also, just to clarify, I left Beebom because of a very simple reason. My ultimate dream was to have my own channel and this felt like the right time to do my own thing. <br>- Rupesh","Hey guys, the support in this video has been unbelievable, to say the least. Thank you everyone from the bottom of my heart. Means a lot! 🙏<br><br>Also, just to clarify, I left Beebom because of a very simple reason. My ultimate dream was to have my own channel and this felt like the right time to do my own thing. <br>- Rupesh",0.8855
@Srikantbhat,2024-04-11T07:33:59Z,2024-04-11T07:33:59Z,0,Is there any fitness band that works on ios?,Is there any fitness band that works on ios?,0.2732
@darkknight8582,2024-04-11T07:32:59Z,2024-04-11T07:32:59Z,0,Bhupesh,Bhupesh,0.0
@deepakSharma-we7rj,2024-04-10T17:49:57Z,2024-04-10T17:49:57Z,0,Isi bande ki wajah se Boltz watch kharidi thi maine ....<br><br>I repent.,"Because of this bandh, I bought Boltz Watch .... <Bar> <Bar> Shri Repoint.",0.0
@user-yz2ui1fp3o,2024-04-10T13:52:06Z,2024-04-10T13:52:06Z,0,Hindi na bolne ke wajah se beebom walo ne nikaal dia 💀,Hindi Na Bolne Ke Wajah Se Beebom Walo Ne Nikaal Dia 💀,0.0
@rota234,2024-04-08T09:04:37Z,2024-04-08T09:04:37Z,0,"Hi, can this be used while swimming? Great video &amp; please elaborate on water / dust resistance.","Hi, can this be used while swimming? Great video &amp; please elaborate on water / dust resistance.",0.7506
@Ashes-9,2024-04-07T17:39:42Z,2024-04-07T17:39:50Z,0,Beebom wasn’t your channel ??😮,Beebom wasn’t your channel ??😮,0.0
@user-vt8zp9wd3w,2024-04-07T11:41:26Z,2024-04-07T11:41:26Z,0,Yes,Yes,0.4019
@amitkumargupta8486,2024-04-06T15:41:45Z,2024-04-06T15:41:45Z,0,we lpove you rupesh but whAT HAPPEND TO BEEBOM TO YOU,we love you rupesh but whAT HAPPENED TO BEEBOM TO YOU,0.3818
@bodalasyamsundar1467,2024-04-06T02:19:26Z,2024-04-06T02:19:26Z,0,"How come it have both 5 atm and ip 68... if it is certified with 5 atm... its lot more than ip 68, then y advertising ip 68.. anyone explain","How come it have both 5 atm and ip 68... if it is certified with 5 atm... its lot more than ip 68, then y advertising ip 68.. anyone explain",0.0
@superbgamerhit9848,2024-04-05T03:49:57Z,2024-04-05T03:49:57Z,0,Why there is no camera shutter button 🔘,Why there is no camera shutter button 🔘,-0.296
@ziyaurrahmanqureshi,2024-04-02T14:50:32Z,2024-04-02T14:50:32Z,0,Unsubscribed beebom Sir,Unsubscribed beebom Sir,0.0
@kunjsolanki6340,2024-04-01T14:07:02Z,2024-04-01T14:07:02Z,0,If it&#39;s personal channel than great move,If it&#39;s personal channel than great move,0.6249
@PramodSingh-xo1qy,2024-04-01T07:38:02Z,2024-04-01T07:38:02Z,0,No GPS is definitely a deal Breaker. It is not a true Fitness band if it requires you to always keep your phone with you for movement tracking. Should have launched at 1-2k higher but GPS is must.,No GPS is definitely a deal Breaker. It is not a true Fitness band if it requires you to always keep your phone with you for movement tracking. Should have launched at 1-2k higher but GPS is must.,-0.1464
@krishbowler,2024-03-31T19:35:54Z,2024-03-31T19:35:54Z,0,What happened to Beebom?,What happened to Beebom?,0.0
@piku1994,2024-03-31T12:48:47Z,2024-03-31T12:48:47Z,0,"Most of us watched Beebom because of you. You were the face of Beebom, now that you left Beebom it is not just the same. But at the same we are happy that you started a new channel. Keep going brother. ✌️","Most of us watched Beebom because of you. You were the face of Beebom, now that you left Beebom it is not just the same. But at the same we are happy that you started a new channel. Keep going brother. ✌️",0.7227
@HM_the_artist,2024-03-30T15:25:10Z,2024-03-30T15:25:10Z,0,HUAWEI HAS SAME DESIGN SELLING HERE IN SG,HUAWEI HAS SAME DESIGN SELLING HERE IN SG,0.0
@tarungoel6416,2024-03-30T08:57:45Z,2024-03-30T08:57:45Z,0,What happened with Beebom?,What happened with Beebom?,0.0
